Escola,Sexo,idade,TP_Moradia,Tamanho_Familia,Situacao_Pais,Educacao_Mae,Educacao_Pai,Trabalho_Mae,Trabalho_Pai,Motivo_Escolha_Escolar,Responsavel_Legal,Tempo_ida_Escola,Tempo_Estudo_Semanal,Apoio_Educacao_Extra,Apoio_Educacao_Pais,Aulas_Particulares,Ativ_Extracurricular,Frequentou_Creche,Quer_Fazer_Graduacao,Tem_Internet,Esta_Namorando,Boa_Convivencia_Familia,Tempo_Livre_Apos_Escola,Tempo_com_Amigos,Alcool_Dia_Util,Alcool_Fim_Semana,Estado_Saude,Falta_Escolar,Nota_1Semestre,Nota_2Semestre
Gabriel Pereira,Mulher,18,Urbano,Acima de 3,Separados,Ensino Superior,Ensino Superior,Do Lar,Professor,Preferência pelo Curso,Mãe,15 a 30 min,2 a 5h,Sim,Não,Não,Não,Sim,Sim,Não,Não,Bom,Moderado,Alto,Muito Baixo,Muito Baixo,Razoavel,4,0,11
Gabriel Pereira,Mulher,17,Urbano,Acima de 3,Morando Juntos,Ensino Fundamental 1,Ensino Fundamental 1,Do Lar,other,Preferência pelo Curso,Pai,Até 15 min,2 a 5h,Não,Sim,Não,Não,Não,Sim,Sim,Não,Excelente,Moderado,Moderado,Muito Baixo,Muito Baixo,Razoavel,2,9,11
Gabriel Pereira,Mulher,15,Urbano,Até 3,Morando Juntos,Ensino Fundamental 1,Ensino Fundamental 1,Do Lar,other,Outro,Mãe,Até 15 min,2 a 5h,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Bom,Moderado,Baixo,Baixo,Moderado,Razoavel,6,12,13
Gabriel Pereira,Mulher,15,Urbano,Acima de 3,Morando Juntos,Ensino Superior,Ensino Fundamental 2,Saúde,Serviços,Perto de Casa,Mãe,Até 15 min,5 a 10h,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Razoavel,Baixo,Baixo,Muito Baixo,Muito Baixo,Muito Bom,0,14,14
Gabriel Pereira,Mulher,16,Urbano,Acima de 3,Morando Juntos,Ensino Médio,Ensino Médio,other,other,Perto de Casa,Pai,Até 15 min,2 a 5h,Não,Sim,Não,Não,Sim,Sim,Não,Não,Bom,Moderado,Baixo,Muito Baixo,Baixo,Muito Bom,0,11,13
Gabriel Pereira,Homem,16,Urbano,Até 3,Morando Juntos,Ensino Superior,Ensino Médio,Serviços,other,Reputação,Mãe,Até 15 min,2 a 5h,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Excelente,Alto,Baixo,Muito Baixo,Baixo,Muito Bom,6,12,12
Gabriel Pereira,Homem,16,Urbano,Até 3,Morando Juntos,Ensino Fundamental 2,Ensino Fundamental 2,other,other,Perto de Casa,Mãe,Até 15 min,2 a 5h,Não,Não,Não,Não,Sim,Sim,Sim,Não,Bom,Alto,Alto,Muito Baixo,Muito Baixo,Razoavel,0,13,12
Gabriel Pereira,Mulher,17,Urbano,Acima de 3,Separados,Ensino Superior,Ensino Superior,other,Professor,Perto de Casa,Mãe,15 a 30 min,2 a 5h,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Bom,Muito Baixo,Alto,Muito Baixo,Muito Baixo,Muito Ruim,2,10,13
Gabriel Pereira,Homem,15,Urbano,Até 3,Separados,Ensino Médio,Ensino Fundamental 2,Serviços,other,Perto de Casa,Mãe,Até 15 min,2 a 5h,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Bom,Baixo,Baixo,Muito Baixo,Muito Baixo,Muito Ruim,0,15,16
Gabriel Pereira,Homem,15,Urbano,Acima de 3,Morando Juntos,Ensino Médio,Ensino Superior,other,other,Perto de Casa,Mãe,Até 15 min,2 a 5h,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Excelente,Muito Alto,Muito Baixo,Muito Baixo,Muito Baixo,Muito Bom,0,12,12
